Date,Weight,Last Updated,Deleted
06/30/2022,161.2,2022-06-30T07:13:34-0800,false
07/01/2022,161.1,2022-07-01T08:27:38-0800,false
07/03/2022,161.3,2022-07-03T08:41:38-0800,false
07/04/2022,162.1,2022-07-04T08:12:25-0800,false
07/09/2022,162.3,2022-07-10T09:26:34-0800,false
07/10/2022,162.9,2022-07-10T09:26:39-0800,false
08/30/2022,167.9,2022-08-30T07:02:44-0800,false
09/01/2022,166.4,2022-09-01T07:15:43-0800,false
09/05/2022,169.6,2022-09-05T08:56:24-0800,false
09/06/2022,165.8,2022-09-06T17:43:56-0800,false
09/07/2022,165.8,2022-09-07T17:54:52-0800,false
09/08/2022,164.3,2022-09-08T07:06:41-0800,false
10/10/2022,169.5,2022-10-10T07:44:00-0800,false
10/11/2022,167.1,2022-10-11T08:23:12-0800,false
10/12/2022,166.0,2022-10-13T16:45:52-0800,false
10/13/2022,166.0,2022-10-13T16:45:47-0800,false
10/14/2022,165.1,2022-10-14T19:29:58-0800,false
10/15/2022,165.7,2022-10-16T09:16:51-0800,false
10/16/2022,165.7,2022-10-16T14:16:30-0800,false
10/17/2022,165.1,2022-10-17T07:27:01-0800,false
10/18/2022,164.3,2022-10-18T20:04:44-0800,false
10/19/2022,163.8,2022-10-19T11:09:45-0800,false
10/20/2022,164.3,2022-10-20T10:02:00-0800,false
10/21/2022,164.7,2022-10-21T16:42:15-0800,false
10/22/2022,164.7,2022-10-22T21:41:57-0800,false
10/23/2022,165.2,2022-10-23T15:45:03-0800,false
10/24/2022,165.2,2022-10-24T07:26:19-0800,false
10/25/2022,164.3,2022-10-25T15:26:21-0800,false
10/26/2022,164.3,2022-10-26T09:57:30-0800,false
10/27/2022,163.5,2022-10-27T12:42:58-0800,false
10/28/2022,163.5,2022-10-28T13:45:02-0800,false
10/29/2022,163.6,2022-10-29T12:31:03-0800,false
10/30/2022,164.1,2022-10-31T07:17:00-0800,false
10/31/2022,164.8,2022-10-31T17:45:04-0800,false
11/01/2022,163.7,2022-11-01T20:10:36-0800,false
11/02/2022,163.2,2022-11-03T07:35:04-0800,false
11/03/2022,163.2,2022-11-03T21:10:35-0800,false
11/04/2022,164.1,2022-11-04T19:19:50-0800,false
11/05/2022,162.6,2022-11-05T19:01:00-0800,false
11/06/2022,164.7,2022-11-06T19:59:02-0800,false
11/07/2022,164.7,2022-11-07T20:50:26-0800,false
11/08/2022,162.0,2022-11-08T20:41:14-0800,false
11/09/2022,161.3,2022-11-09T08:42:09-0800,false
02/19/2023,170.2,2023-03-13T09:58:26-0800,false
03/13/2023,171.2,2023-03-13T15:06:02-0800,false
03/14/2023,168.3,2023-03-14T17:28:24-0800,false
03/15/2023,168.3,2023-03-15T16:50:06-0800,false
03/16/2023,168.3,2023-03-16T16:48:41-0800,false
03/17/2023,169.1,2023-03-17T15:34:00-0800,false
04/13/2023,169.4,2023-04-13T17:26:44-0800,false
04/23/2023,166.6,2023-04-23T10:12:16-0800,false
04/24/2023,165.1,2023-04-24T21:45:21-0800,false
11/09/2023,169.2,2023-11-27T08:03:58-0800,false
11/27/2023,168.1,2023-11-27T17:24:31-0800,false
11/28/2023,167.1,2023-11-28T17:55:25-0800,false
11/29/2023,168.1,2023-11-29T17:20:07-0800,false
11/30/2023,168.1,2023-11-30T18:10:13-0800,false
01/16/2024,171.0,2024-01-17T08:13:14-0800,false
01/19/2024,170.2,2024-01-19T19:07:08-0800,false
01/24/2024,169.5,2024-01-24T08:11:10-0800,false
01/26/2024,168.6,2024-01-26T07:57:51-0800,false
01/29/2024,169.2,2024-01-29T19:21:37-0800,false
01/31/2024,169.2,2024-01-31T17:09:41-0800,false
02/02/2024,168.1,2024-02-02T08:34:04-0800,false
02/04/2024,168.1,2024-02-04T17:33:15-0800,false
02/05/2024,165.0,2024-02-05T18:09:15-0800,false
02/06/2024,166.2,2024-02-06T18:22:55-0800,false
02/07/2024,166.2,2024-02-07T07:50:37-0800,false
02/08/2024,167.1,2024-02-08T08:01:08-0800,false
02/09/2024,166.2,2024-02-09T07:46:12-0800,false
02/10/2024,165.9,2024-02-10T09:05:17-0800,false
02/11/2024,166.4,2024-02-11T09:58:55-0800,false
02/12/2024,167.1,2024-02-12T17:08:00-0800,false
02/13/2024,166.4,2024-02-13T18:24:38-0800,false
02/14/2024,166.4,2024-02-14T18:06:44-0800,false
02/26/2024,167.7,2024-02-26T18:41:17-0800,false
02/27/2024,167.7,2024-02-27T18:27:15-0800,false
02/28/2024,168.9,2024-02-28T17:37:29-0800,false
02/29/2024,167.7,2024-02-29T18:14:13-0800,false
03/01/2024,167.0,2024-03-01T08:41:23-0800,false
03/05/2024,167.0,2024-03-05T10:32:14-0800,false
03/06/2024,167.0,2024-03-06T07:58:51-0800,false
03/07/2024,166.2,2024-03-07T18:18:18-0800,false
03/08/2024,167.0,2024-03-08T16:26:05-0800,false
03/09/2024,167.0,2024-03-09T09:13:16-0800,false
03/11/2024,166.2,2024-03-12T07:30:54-0800,false
03/14/2024,165.1,2024-03-14T07:16:13-0800,false
03/16/2024,165.6,2024-03-16T08:02:20-0800,false
03/17/2024,166.5,2024-03-17T16:48:41-0800,false
03/21/2024,163.7,2024-03-21T06:50:31-0800,false
01/02/2025,177.0,2025-01-02T07:07:48-0800,false
01/03/2025,174.3,2025-01-03T06:33:32-0800,false
01/04/2025,175.2,2025-01-04T06:43:43-0800,false
01/05/2025,174.3,2025-01-05T07:45:23-0800,false
01/06/2025,173.5,2025-01-06T07:47:11-0800,false
01/07/2025,173.5,2025-01-07T06:39:52-0800,false
01/09/2025,173.5,2025-01-09T07:40:49-0800,false
01/10/2025,172.8,2025-01-10T07:57:58-0800,false
01/11/2025,172.8,2025-01-11T07:38:17-0800,false
01/12/2025,172.8,2025-01-12T08:26:10-0800,false
01/13/2025,172.8,2025-01-13T07:34:50-0800,false
01/14/2025,171.7,2025-01-14T07:12:25-0800,false
01/15/2025,171.7,2025-01-15T07:23:50-0800,false
01/16/2025,171.7,2025-01-16T07:10:57-0800,false
01/17/2025,172.8,2025-01-17T07:47:32-0800,false
01/18/2025,171.7,2025-01-18T07:47:40-0800,false
01/19/2025,170.7,2025-01-19T07:48:45-0800,false
01/20/2025,170.7,2025-01-20T08:10:23-0800,false
01/21/2025,171.2,2025-01-21T07:27:02-0800,false
01/22/2025,170.7,2025-01-22T07:27:08-0800,false
01/23/2025,170.7,2025-01-23T07:45:34-0800,false
01/27/2025,171.6,2025-01-27T07:18:36-0800,false
